Mes,Código Material,Venta Neta Kilos
2020-04,1003930,0.0
2020-04,1003934,0.0
2020-04,1004086,5.0
2020-04,1004132,0.0
2020-04,1004134,41.0
2020-04,1004135,0.0
2020-04,1004136,0.0
2020-04,1004146,0.0
2020-04,1004147,0.0
2020-04,1004157,0.0
2020-04,1004158,0.0
2020-04,1004159,71.0
2020-04,1006777,0.0
2020-04,1007307,122.0
2020-04,1007308,0.0
2020-04,1007309,-292.0
2020-04,1007310,0.0
2020-04,1008505,1000.0
2020-04,1010976,60.0
2020-04,1012304,1060.0
2020-04,1012721,0.0
2020-04,1015577,20.0
2020-04,1015578,0.0
2020-04,1017862,240.0
2020-04,1018434,1300.0
2020-04,1018660,0.0
2020-04,1018661,0.0
2020-04,1018662,0.0
2020-04,1025298,20.0
2020-04,1025986,0.0
2020-04,1030868,1944.0
2020-04,1030869,1152.0
2020-04,1030870,144.0
2020-04,1031806,312.0
2020-04,1032673,0.0
2020-04,1032719,0.0
2020-04,1041780,0.0
2020-04,1041781,0.0
2020-04,1041782,10.0
2020-04,1041788,0.0
2020-04,1041791,0.0
2020-04,1041796,0.0
2020-04,1041799,0.0
2020-04,1041807,0.0
2020-04,3001601,18000.0
